track_name,artists,cluster_label,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Mazaak,Anuv Jain,3,0.534,0.461,-11.292,0.0295,0.795,1.51e-06,0.114,0.244,145.972
Saibo - Lofi Flip,VIBIE,3,0.323,0.349,-12.524,0.0761,0.965,0.00548,0.116,0.2,180.203
Kesariya - Dance Mix,Pritam;Shashwat Singh;Antara Mitra;Arijit Singh,1,0.7,0.699,-4.193,0.0531,0.45,0.0,0.103,0.567,100.037
Dil Ibaadat,Pritam;KK,6,0.59,0.859,-5.005,0.0416,0.633,0.0,0.286,0.634,149.966
Subhanallah,Pritam;Sreeram;Shilpa Rao,2,0.302,0.493,-5.038,0.0451,0.455,0.0,0.134,0.457,88.904
Dev Theme,Pritam;SlowCheeta,11,0.526,0.94,-7.567,0.138,0.156,0.694,0.069,0.187,147.053
Kesariya,Pritam;Arijit Singh;Amitabh Bhattacharya,2,0.577,0.574,-6.525,0.0278,0.572,0.0,0.1,0.436,94.009
Raabta,Pritam;Arijit Singh,2,0.657,0.581,-8.108,0.0298,0.699,1.82e-05,0.116,0.323,118.037
Deva Deva - Film Version,Pritam;Arijit Singh;Jonita Gandhi;Amitabh Bhattacharya,2,0.548,0.75,-7.372,0.04,0.565,0.000499,0.138,0.442,112.063
Kho Gaye Hum Kahan,Jasleen Royal;Prateek Kuhad,14,0.778,0.227,-16.191,0.0379,0.983,0.14,0.113,0.38,116.033
Rasiya Reprise,Pritam;Arijit Singh;Amitabh Bhattacharya,3,0.34,0.606,-8.517,0.0379,0.798,0.00205,0.0963,0.268,151.383
Mehrama,Pritam;Darshan Raval;Antara Mitra,2,0.56,0.631,-9.032,0.0334,0.861,0.0133,0.0985,0.376,107.987
Khairiyat,Pritam;Arijit Singh,3,0.534,0.481,-9.016,0.0412,0.697,0.0,0.142,0.293,124.914
"Ranjha (From ""Shershaah"")",Jasleen Royal;B Praak;Romy;Anvita Dutt,2,0.603,0.573,-5.843,0.0502,0.478,0.0,0.0971,0.236,82.941
"Dance Ka Bhoot (From ""Brahmastra"")",Pritam;Arijit Singh;Amitabh Bhattacharya,6,0.632,0.929,-5.297,0.128,0.0503,0.0,0.271,0.584,136.008
Kesariya Rangu,Pritam;Sanjith Hegde;Sid Sriram,2,0.555,0.596,-7.278,0.0298,0.665,1.05e-05,0.108,0.352,94.2
